"CATEGORY","RAWTEXT"
"4","The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal ."
"5","The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth ."
"3","Effective but too-tepid biopic"
"4","If you sometimes like to go to the movies to have fun , Wasabi is a good place to start ."
"5","Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one ."
"3","The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game ."
"5","Offers that rare combination of entertainment and education ."
"4","Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ."
"4","Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it ."
"4","But he somehow pulls it off ."
"4","Take Care of My Cat offers a refreshingly different slice of Asian cinema ."
"5","This is a film well worth seeing , talking and singing heads and all ."
"4","What really surprises about Wisegirls is its low-key quality and genuine tenderness ."
"4","( Wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
"5","One of the greatest family-oriented , fantasy-adventure movies ever ."
"3","Ultimately , it ponders the reasons we need stories so much ."
"4","An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question ."
"3","Illuminating if overly talky documentary ."
"5","A masterpiece four years in the making ."
"4","The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
"5","Offers a breath of the fresh air of true sophistication ."
"5","A thoughtful , provocative , insistently humanizing film ."
"5","With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
"3","A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass ."
"4","Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare ."
"4","Scores a few points for doing what it does with a dedicated and good-hearted professionalism ."
"4","Occasionally melodramatic , it 's also extremely effective ."
"4","An idealistic love story that brings out the latent 15-year-old romantic in everyone ."
"4","At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story ."
"2","However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts ."
"4","It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid ."
"5","Guaranteed to move anyone who ever shook , rattled , or rolled ."
"5","A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
"3","Light , cute and forgettable ."
"4","If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the ( unfortunately R-rated ) Paid ."
"4","While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy ."
"2","Though everything might be literate and smart , it never took off and always seemed static ."
"4","Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days"
"4","Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn ."
"4","Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
"2","Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike ."
"3","A heavy reliance on CGI technology is beginning to creep into the series ."
"5","Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg ."
"1","The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture ."
"5","Much of the way , though , this is a refreshingly novel ride ."
"5","Fuller would surely have called this gutsy and at times exhilarating movie a great yarn ."
"4","The film makes a strong case for the importance of the musicians in creating the Motown sound ."
"3","Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat ."
"5","Gosling provides an amazing performance that dwarfs everything else in the film ."
"4","A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know ."
"5","Tender yet lacerating and darkly funny fable ."
"4","May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today ."
"4","An engaging overview of Johnson 's eccentric career ."
"4","In its ragged , cheap and unassuming way , the movie works ."
"4","Some actors have so much charisma that you 'd be happy to listen to them reading the phone book ."
"5","Hugh Grant and Sandra Bullock are two such likeable actors ."
"4","Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open ."
"4","Behind the snow games and lovable Siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart ."
"4","Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse ."
"3","Manages to be original , even though it rips off many of its ideas ."
"4","Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece ."
"3","You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold ."
"4","Yet the act is still charming here ."
"5","Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow ."
"4","A pleasant enough movie , held together by skilled ensemble actors ."
"4","This is the best American movie about troubled teens since 1998 's Whatever ."
"3","Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both ."
"5","Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing ."
"4","The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."
"4","The invincible Werner Herzog is alive and well and living in LA"
"3","Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start ."
"4","Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness ."
"2","Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness ."
"4","A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them ."
"5","A taut , intelligent psychological drama ."
"5","A truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort ."
"5","This delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director ."
"5","At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance ."
"3","The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes ."
"5","I loved it !"
"5","Gollum 's ` performance ' is incredible !"
"5","a screenplay more ingeniously constructed than `` Memento ''"
"5","If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next ."
"4","Haneke challenges us to confront the reality of sexual aberration ."
"2","Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way ."
"5","It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured ."
"4","Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances ."
"4","This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border ."
"3","A few artsy flourishes aside , Narc is as gritty as a movie gets these days ."
"4","While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at ."
"5","Together , Tok and O orchestrate a buoyant , darkly funny dance of death ."
"4","In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema ."
"4","Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth ."
"5","The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes ."
"5","A sports movie with action that 's exciting on the field and a story you care about off it ."
"5","Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere ."
"5","The tenderness of the piece is still intact ."
"4","Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself"
"4","Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated ."
"2","While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story ."
"4","If nothing else , this movie introduces a promising , unusual kind of psychological horror ."
"1","In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel ."
"4","But in Imax 3-D , the clichés disappear into the vertiginous perspectives opened up by the photography ."
"4","Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear ."
"5","... a roller-coaster ride of a movie"
"3","I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory ."
"5","Chicago is sophisticated , brash , sardonic , completely joyful in its execution ."
"4","Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume ."
"5","A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters ."
"4","On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique ."
"4","The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure ."
"5","If it 's possible for a sequel to outshine the original , then SL2 does just that ."
"4","A romantic comedy that operates by the rules of its own self-contained universe ."
"4","4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip ."
"5","The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm"
"4","It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists ."
"5","A feel-good picture in the best sense of the term ."
"4","Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery ."
"4","A mostly intelligent , engrossing and psychologically resonant suspenser ."
"3","It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self ."
"3","Hip-hop has a history , and it 's a metaphor for this love story ."
"5","In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level ."
"4","This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there ."
"3","Between the drama of Cube ?"
"5","s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results ."
"4","A gentle , compassionate drama about grief and healing ."
"2","Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes ."
"4","Digital-video documentary about stand-up comedians is a great glimpse into a very different world ."
"3","Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity ."
"4","An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to ."
"4","`` Extreme Ops '' exceeds expectations ."
"5","Good fun , good action , good acting , good dialogue , good pace , good cinematography ."
"3","You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected ."
"5","Dramas like this make it human ."
"3","A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action ."
"5","Still , this flick is fun , and host to some truly excellent sequences ."
"5","It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world ."
"5","Run , do n't walk , to see this barbed and bracing comedy on the big screen ."
"5","A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done ."
"3","It is nature against progress ."
"4","In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale ."
"4","It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru ."
